pH,weathering rate,carbon removal
0,1,4.4855E-10
0.1,0.794328235,6.82677E-10
0.2,0.630957344,1.03901E-09
0.3,0.501187234,1.58133E-09
0.4,0.398107171,2.40672E-09
0.5,0.316227766,3.66294E-09
0.6,0.251188643,5.57485E-09
0.7,0.199526231,8.48471E-09
0.8,0.158489319,1.29134E-08
0.9,0.125892541,1.96537E-08
1,0.1,2.99122E-08
1.1,0.079432823,4.55252E-08
1.2,0.063095734,6.92876E-08
1.3,0.050118723,1.05453E-07
1.4,0.039810717,1.60495E-07
1.5,0.031622777,2.44268E-07
1.6,0.025118864,3.71766E-07
1.7,0.019952623,5.65814E-07
1.8,0.015848932,8.61147E-07
1.9,0.012589254,1.31063E-06
2,0.01,1.99473E-06
2.1,0.007943282,3.0359E-06
2.2,0.006309573,4.62051E-06
2.3,0.005011872,7.03223E-06
2.4,0.003981072,1.07027E-05
2.5,0.003162278,1.62891E-05
2.6,0.002511886,2.47911E-05
2.7,0.001995262,3.77307E-05
2.8,0.001584893,5.74235E-05
2.9,0.001258925,8.73937E-05
3,0.001,0.000133004
3.1,0.000794328,0.000202413
3.2,0.000630957,0.000308032
3.3,0.000501187,0.000468737
3.4,0.000398107,0.000713225
3.5,0.000316228,0.001085097
3.6,0.000251189,0.001650541
3.7,0.000199526,0.002509898
3.8,0.000158489,0.003814971
3.9,0.000125893,0.0057947
4,0.0001,0.008792716
4.1,7.94328E-05,0.01332104
4.2,6.30957E-05,0.020134116
4.3,5.01187E-05,0.030324662
4.4,3.98107E-05,0.045433829
4.5,3.16228E-05,0.067546691
4.6,2.51189E-05,0.099302385
4.7,1.99526E-05,0.143686833
4.8,1.58489E-05,0.203428873
4.9,1.25893E-05,0.279891473
5,0.00001,0.371683812
5.1,7.94328E-06,0.473774091
5.2,6.30957E-06,0.578105233
5.3,5.01187E-06,0.675901528
5.4,3.98107E-06,0.760423002
5.5,3.16228E-06,0.82849523
5.6,2.51189E-06,0.88027111
5.7,1.99526E-06,0.917964
5.8,1.58489E-06,0.944538114
5.9,1.25893E-06,0.962852366
6,0.000001,0.9752773
6.1,7.94328E-07,0.983617123
6.2,6.30957E-07,0.989174861
6.3,5.01187E-07,0.992860873
6.4,3.98107E-07,0.995297746
6.5,3.16228E-07,0.996905409
6.6,2.51189E-07,0.997964548
6.7,1.99526E-07,0.998661679
6.8,1.58489E-07,0.999120256
6.9,1.25893E-07,0.999421793
7,0.0000001,0.999620015
7.1,7.94328E-08,0.9997503
7.2,6.30957E-08,0.999835921
7.3,5.01187E-08,0.999892187
7.4,3.98107E-08,0.999929159
7.5,3.16228E-08,0.999953453
7.6,2.51189E-08,0.999969416
7.7,1.99526E-08,0.999979905
7.8,1.58489E-08,0.999986796
7.9,1.25893E-08,0.999991325
8,0.00000001,0.9999943
8.1,7.94328E-09,0.999996255
8.2,6.30957E-09,0.999997539
8.3,5.01187E-09,0.999998383
8.4,3.98107E-09,0.999998938
8.5,3.16228E-09,0.999999302
8.6,2.51189E-09,0.999999541
8.7,1.99526E-09,0.999999699
8.8,1.58489E-09,0.999999802
8.9,1.25893E-09,0.99999987
9,0.000000001,0.999999915
9.1,7.94328E-10,0.999999944
9.2,6.30957E-10,0.999999963
9.3,5.01187E-10,0.999999976
9.4,3.98107E-10,0.999999984
9.5,3.16228E-10,0.99999999
9.6,2.51189E-10,0.999999993
9.7,1.99526E-10,0.999999995
9.8,1.58489E-10,0.999999997
9.9,1.25893E-10,0.999999998
10,1E-10,0.999999999
10.1,7.94328E-11,0.999999999
10.2,6.30957E-11,0.999999999
10.3,5.01187E-11,1
10.4,3.98107E-11,1
10.5,3.16228E-11,1
10.6,2.51189E-11,1
10.7,1.99526E-11,1
10.8,1.58489E-11,1
10.9,1.25893E-11,1
11,1E-11,1
11.1,7.94328E-12,1
11.2,6.30957E-12,1
11.3,5.01187E-12,1
11.4,3.98107E-12,1
11.5,3.16228E-12,1
11.6,2.51189E-12,1
11.7,1.99526E-12,1
11.8,1.58489E-12,1
11.9,1.25893E-12,1
12,1E-12,1
12.1,7.94328E-13,1
12.2,6.30957E-13,1
12.3,5.01187E-13,1
12.4,3.98107E-13,1
12.5,3.16228E-13,1
12.6,2.51189E-13,1
12.7,1.99526E-13,1
12.8,1.58489E-13,1
12.9,1.25893E-13,1
13,1E-13,1
13.1,7.94328E-14,1
13.2,6.30957E-14,1
13.3,5.01187E-14,1
13.4,3.98107E-14,1
13.5,3.16228E-14,1
13.6,2.51189E-14,1
13.7,1.99526E-14,1
13.8,1.58489E-14,1
13.9,1.25893E-14,1
14,1E-14,1
